iter	Passed	Remaining
408	5423	7836
409	5437	7824
410	5451	7813
411	5466	7801
412	5480	7789
413	5494	7777
414	5511	7769
415	5527	7759
416	5543	7750
417	5560	7742
418	5584	7743
419	5601	7735
420	5616	7724
421	5629	7710
422	5640	7693
423	5654	7681
424	5669	7670
425	5684	7659
426	5699	7648
427	5714	7637
428	5729	7625
429	5779	7661
430	5799	7656
431	5812	7642
432	5826	7629
433	5837	7612
434	5853	7602
435	5871	7594
436	5888	7586
437	5907	7580
438	5922	7568
439	5939	7558
440	5956	7550
441	5971	7538
442	5987	7528
443	6002	7516
444	6019	7507
445	6035	7497
446	6050	7485
447	6065	7473
448	6079	7460
449	6092	7446
450	6104	7431
451	6116	7415
452	6130	7402
453	6143	7388
454	6155	7373
455	6166	7356
456	6179	7342
457	6193	7329
458	6207	7316
459	6219	7301
460	6231	7286
461	6245	7272
462	6259	7259
463	6273	7246
464	6284	7230
465	6299	7218
466	6316	7209
467	6338	7205
468	6354	7194
469	6370	7183
470	6388	7175
471	6403	7163
472	6417	7149
473	6430	7136
474	6444	7122
475	6458	7110
476	6474	7098
477	6487	7084
478	6498	7068
479	6511	7054
480	6525	7040
481	6539	7027
482	6552	7013
483	6563	6997
484	6577	6983
485	6591	6971
486	6604	6956
487	6617	6942
488	6629	6927
489	6642	6913
490	6657	6901
491	6672	6889
492	6687	6877
493	6703	6866
494	6721	6857
495	6736	6845
496	6752	6834
497	6766	6820
498	6781	6808
499	6795	6795
500	6811	6784
501	6826	6772
502	6841	6760
503	6857	6748
504	6874	6737
505	6888	6725
506	6901	6711
507	6914	6696
508	6927	6682
509	6941	6669
510	6955	6655
511	6968	6641
512	6980	6626
513	6992	6611
514	7004	6596
515	7017	6582
516	7030	6567
517	7042	6552
518	7055	6538
519	7068	6524
520	7079	6508
521	7090	6492
522	7103	6478
523	7116	6464
524	7128	6449
525	7139	6433
526	7152	6419
527	7164	6404
528	7176	6389
529	7188	6374
530	7200	6359
531	7212	6345
532	7223	6328
533	7235	6314
534	7248	6299
535	7259	6284
536	7271	6269
537	7284	6255
538	7296	6240
539	7309	6226
540	7321	6211
541	7333	6197
542	7345	6182
543	7356	6166
544	7369	6152
545	7381	6137
546	7393	6123
547	7404	6107
548	7418	6093
549	7430	6079
550	7443	6065
551	7454	6049
552	7466	6035
553	7479	6021
554	7492	6007
555	7503	5991
556	7515	5977
557	7529	5964
558	7542	5950
559	7552	5934
560	7565	5920
561	7578	5906
562	7590	5891
563	7601	5876
564	7614	5862
565	7626	5847
566	7637	5832
567	7650	5818
568	7662	5804
569	7675	5790
570	7686	5774
571	7697	5759
572	7710	5745
573	7721	5730
574	7732	5715
575	7745	5701
576	7757	5687
577	7768	5671
578	7780	5657
579	7792	5642
580	7803	5627
581	7815	5612
582	7827	5598
583	7839	5584
584	7851	5569
585	7866	5557
586	7878	5543
587	7891	5529
588	7903	5514
589	7914	5500
590	7926	5485
591	7939	5471
592	7950	5456
593	7963	5443
594	7976	5429
595	7988	5414
596	7999	5399
597	8011	5385
598	8027	5373
599	8039	5359
600	8051	5345
601	8062	5330
602	8075	5316
603	8087	5302
604	8098	5287
605	8111	5273
606	8124	5260
607	8136	5245
608	8147	5230
609	8159	5216
610	8172	5202
611	8182	5187
612	8194	5173
613	8206	5158
614	8217	5144
615	8228	5129
616	8240	5115
617	8254	5102
618	8264	5087
619	8276	5072
620	8288	5058
621	8303	5046
622	8314	5031
623	8326	5017
624	8338	5003
625	8350	4989
626	8361	4974
627	8374	4960
628	8385	4946
629	8397	4931
630	8408	4917
631	8420	4903
632	8432	4889
633	8443	4874
634	8456	4860
635	8468	4846
636	8480	4832
637	8491	4818
638	8504	4804
639	8518	4791
640	8531	4778
641	8542	4763
642	8555	4749
643	8568	4736
644	8581	4723
645	8592	4708
646	8605	4695
647	8617	4681
648	8631	4668
649	8642	4653
650	8654	4639
651	8666	4625
652	8678	4611
653	8689	4597
654	8703	4584
655	8717	4571
656	8729	4557
657	8740	4542
658	8752	4529
659	8765	4515
660	8776	4501
661	8789	4487
662	8801	4473
663	8813	4459
664	8823	4445
665	8836	4431
666	8850	4418
667	8862	4404
668	8873	4390
669	8885	4376
670	8897	4362
671	8908	4348
672	8920	4334
673	8933	4320
674	8946	4307
675	8959	4293
676	8970	4279
677	8982	4265
678	8994	4252
679	9006	4238
680	9021	4225
681	9033	4212
682	9046	4198
683	9058	4185
684	9070	4171
685	9082	4157
686	9094	4143
687	9105	4129
688	9116	4115
689	9129	4101
690	9141	4087
691	9152	4073
692	9164	4059
693	9176	4046
694	9187	4031
695	9199	4018
696	9212	4004
697	9224	3991
698	9235	3976
699	9247	3963
700	9259	3949
701	9271	3935
702	9282	3921
703	9296	3908
704	9308	3895
705	9319	3880
706	9331	3867
707	9344	3854
708	9357	3840
709	9368	3826
710	9380	3812
711	9393	3799
712	9405	3786
