iter	Logloss
0	0.6716203457
1	0.6560063581
2	0.6368711031
3	0.6222684261
4	0.6073524859
5	0.5920601059
6	0.5792015127
7	0.5664489793
8	0.5498751166
9	0.5365128058
10	0.5252192991
11	0.5141259225
12	0.4998975792
13	0.487351696
14	0.4760761097
15	0.4668684193
16	0.4543172739
17	0.4456715485
18	0.4357746143
19	0.426223093
20	0.4157650895
21	0.4087291795
22	0.4021595451
23	0.3951750351
24	0.388468842
25	0.3819917381
26	0.3753811797
27	0.3675539179
28	0.3619936853
29	0.3563069284
30	0.350885307
31	0.3452224968
32	0.3382055163
33	0.331159116
34	0.3265603128
35	0.3197246765
36	0.3135555008
37	0.3074688094
38	0.3011794758
39	0.2976307502
40	0.2915250751
41	0.2860845664
42	0.2817038278
43	0.2781218767
44	0.2735280621
45	0.270054107
46	0.267149849
47	0.2640036825
48	0.2611697486
49	0.2581524045
50	0.2555782411
51	0.2530384586
52	0.2503468514
53	0.2466973559
54	0.2444396415
55	0.2421907068
56	0.2396586136
57	0.2373350719
58	0.2350692843
59	0.2324203029
60	0.2298801477
61	0.2270588313
62	0.2238884816
63	0.2215375816
64	0.2193121639
65	0.2176331639
66	0.2142673092
67	0.2122102999
68	0.2095028712
69	0.2078880318
70	0.2052789736
71	0.2032148154
72	0.2008570096
73	0.1995977771
74	0.1979443302
75	0.1964049103
76	0.1952128115
77	0.1933138611
78	0.1920522685
79	0.1906444539
80	0.1884509438
81	0.1869701375
82	0.1858948626
83	0.1846667052
84	0.1834162327
85	0.1821287224
86	0.1809023704
87	0.1796604515
88	0.1777540052
89	0.1762581872
90	0.1753198374
91	0.1739888087
92	0.1728402092
93	0.1716336551
94	0.1701308292
95	0.1692407801
96	0.1677653255
97	0.1663497561
98	0.1654290189
99	0.1639790172
100	0.1631180215
101	0.1623762391
102	0.1608433441
103	0.1599470372
104	0.1591946524
105	0.1582683578
106	0.1576855927
107	0.1567460601
108	0.156109837
109	0.1553097266
110	0.1539741786
111	0.1532022872
112	0.1525709813
113	0.1514030951
114	0.1502535853
115	0.149677056
116	0.148908505
117	0.1484056817
118	0.1471465308
119	0.1463528328
120	0.1458018917
121	0.1448063644
122	0.1437234868
123	0.1426107812
124	0.1416872916
125	0.1406937801
126	0.1401668273
127	0.1392170632
128	0.1383837861
129	0.1375443322
130	0.1371506709
131	0.1365731641
132	0.1360436002
133	0.1352077526
134	0.1343545676
135	0.1338754578
136	0.1331276281
137	0.1325609735
138	0.1318227853
139	0.1314378851
140	0.1307365634
141	0.1302223111
142	0.1296326293
143	0.1292998223
144	0.1288238116
145	0.128143344
146	0.1277431222
147	0.1268820581
148	0.1264644228
149	0.1256355739
150	0.1249995802
151	0.1248482163
152	0.1246474314
153	0.1244998704
154	0.1241904688
155	0.1238847971
156	0.1234391768
157	0.1229624071
158	0.1223425807
159	0.1218443736
160	0.1216998243
161	0.121577047
162	0.1208835403
163	0.120832727
164	0.1202041309
165	0.1196770568
166	0.1190905503
167	0.1186878156
168	0.1184971293
169	0.1180008396
170	0.1177988569
171	0.1170921032
172	0.1166547855
173	0.1163220202
174	0.1160863377
175	0.1157564236
176	0.1152272919
177	0.1146746677
178	0.1143989487
179	0.1139593413
180	0.1138083002
181	0.1134213512
182	0.1132720739
183	0.1131765506
184	0.1129686344
185	0.1127467389
186	0.1125667683
187	0.1124012606
188	0.111857945
189	0.1116358277
190	0.1111974318
191	0.110739861
192	0.1103372517
193	0.1102534597
194	0.1099365606
195	0.1096033855
196	0.1094898745
197	0.1089152979
198	0.1088044771
199	0.1086101123
200	0.1082302039
201	0.1079507048
202	0.1077737617
